May	may
sort	çeşid
professional	peşəkar
prime minister	baş nazir
absurdity	absurdluq
artisan	sənətkar
spear	nizə
cleaning	təmizlənmə
assort	çeşidləmək
waste	tullantı
throw	tullamaq
preliminary	ibtidai
classification	təsnifat
wild	vəhşi
domesticated	əhli
wild	vəhşiləşmək
service	qulluq
technical	texniki
spell	tilsim
drip	dammaq
overflow	daşmaq
flood	daşqın
bold	cəsur
shelf	rəf
logical	məntiqli
illogical	məntiqsiz
logical	məntiqi
pave	daşlamaq
awaited	gözlənmək
humiliate	alçaltmaq
trestle bed	taxt
rule	hökm sürmək
servant	qulluqçu
serviceman	hərbi qulluqçu
boring	cansıxıcı
boring	darıxdırıcı
present	sovqat
godfather	kirvə
rent	kirayə
tiresome	yorucu
servant	xadim
use	səmərə
medlar	əzgil
plan	planlaşdırmaq
fruitful	səmərəli
useless	səmərəsiz
take the lead	qabağa düşmək
make	güldürmək
small	cüzi
əmək mühaciri	tikdirmək
migrant worker	əmək mühaciri
idea	təsəvvür
crumb	qırıntı
günah	unutdurmaq
seat	otuzdurmaq
etmək	şadlığından şitlik etmək
puddle	gölməçə
düşmək	tasa düşmək
joy	şadlıq
banquet hall	şadlıq evi
var	biri var idi, biri yox idi
fern	qıjı
gratitude	minnətdarlıq
thanks	çoxsağol
gratitude	təşəkkür
easily	oxunaqlı
reading	oxunuş
nəvə	oxutdurmaq
favour	yaxşılıq
ingratitude	nankorluq
unthankful	nankor
ungratefulness	naşükürlük
fight	qovğa
forewarned	xəbərdar
treachery	xəyanət
expression	ifadə
drag	sürükləmək
count	hesab
subject	düçar
humiliating	alçaldıcı
scarce	qıt
pul	hesabına
oversleep	yatıb qalmaq
die	yatıb durmamaq
pass away	dünyasını dəyişmək
Father Christmas	Şaxta Baba
il	Yeni il
Christmas tree	yolka
spruce	küknar
Snow Maiden	Qarqız
last	çoxəsrlik
bütün	bütün ölkələrin proletarları, birləşin
humanity	bəşəriyyət
poor	fağır-füqəra
man	bəşər
water	sulamaq
water	suvarmaq
province	əyalət
heredity	irsiyyət
alder	qızılağac
beech	fıstıq
pistachio	püstə
otter	çay samuru
mütəmadi	olaraq
constant	mütəmadi
constant	daimi
constant	daimi kəmiyyət
centripetal	mərkəzəqaçma
reactionary	mürtəce
armed forces	silahlı qüvvələr
air forces	hərbi hava qüvvələri
navy	hərbi dəniz qüvvələri
productive forces	məhsuldar qüvvələr
workforce	işçi qüvvəsi
imitation	təmsil
representative	təmsilçi
representation	təmsilçilik
representative	nümayəndə
parody	yamsılamaq
proverb	atalar sözü
hökmdar	öldürtmək
lord	hökmdar
sahib	öldürülmək
unknown	naməlum
rule	hökmranlıq
darling	başına dönüm
prosecutor	prokuror
average	orta statistik
strictly	sırf
internal	daxili
fitness centre	fitnes zalı
fitness	fitnes
weightlifting	ağır atletika
lifting	qaldırma
deadlift	yerdən qaldırma
bench press	sinədən qaldırma
chest	sinə
squat	ağırlıqla oturub-durma
medalist	medalçı
weightlifter	ştanqçı
honoured	əməkdar
kettlebell	idman daşı
barbell	ştanq
manifestation	təzahür
sample	nümunə
extraordinary	fövqəladə
unwind	çözələmək
lowbrow	səviyyəsiz
forger	saxtakar
fake	saxta
forgery	saxtakarlıq
lie	basıb-bağlamaq
chestnut	şabalıd
chestnut	şabalıdı
condolences	başsağlığı
sağ	başın sağ olsun
stone	dibək
cruel	zalım
rag	cındır
rags	cır-cındır
ragpicker	cındırçı
joystick	coystik
devaluation	devalvasiya
two-headed	ikibaşlı
scattered	pərişan
sad	kədərli
sad	qəmli
sad	qəmgin
perforator	deşikaçan
pierce	dəlmək
competitive	rəqabətdavamlı
convenience food	yarımfabrikat
unfinished	yarımçıq
symbolic	rəmzi
symbol	rəmz
symbolize	rəmziləşdirmək
colored	rəngli
symbol	simvol
symbolize	simvollaşdırmaq
symbolic	simvolik
politburo	siyasi büro
career criminal	vorzakon
midfielder	yarımmüdafiəçi
defender	müdafiəçi
internationalist	beynəlmiləlçi
short	qısametrajlı
smokescreen	tüstü pərdəsi
traffic light	işıqfor
hüquq	hüquq-mühafizə orqanları
dump truck	özüboşaldan
grant	qrantyeyən
brain-teaser	başsındıran
machine gun	pulemyot
geopolitical	geosiyasi
geopolitics	geosiyasət
prospects	perspektivsiz
processed cheese	əridilmiş pendir
curfew	komendant saatı
urgent	təcili
nothing	heç zad
embarrassing	utandırıcı
embarrass	utandırmaq
early	ertə
wailer	ağıçı
postpone	ertələmək
procrastinator	ertələməçi
play for time	ertələyici
perfectionist	mükəmməliyyətçi
perfectionism	mükəmməliyyətçilik
tomorrow	ertəsi
perfection	mükəmməliyyət
colonialism	müstəmləkəçilik
colonialist	müstəmləkəçi
broker	dəllal
trainer	məşqçi
board	lövhə
bag	torbacıq
torba	boynuna torba salmaq
bursiform	torbavari
light	yüngülvari
intended	torbalıq
work	əməkgün
knife	bıçaqlamaq
ring-shaped	üzükvari
corneous	buynuzvari
peltate	qalxanvarı
thyroid	qalxanabənzər
thyroid gland	qalxanabənzər vəzi
quiver	oxluq
archer	oxatan
treey	ağaclıq
shady	kölgəlik
place	ilanlıq
fatherhood	atalıq
establish	müəyyən etmək
sisterhood	bacılıq
valour	rəşadət
snake	ilancıq
asylum	pənah
patron	himayədar
weather	havadar
curtain	pərdə
curtain	pərdələmək
curtained	pərdəli
beam	pərdi
joy	fərəh
glad	fərəhli
exemplary	nümunəvi
genocide	soyqırım
producer	prodüser
chairperson	sədr
cochairman	həmsədr
season	mövsüm
bars	barmaqlıq
ointment	məlhəm
expressive	ifadəvi
content	məzmun
reflect	dəf etmək
enlist	yazdırmaq
moisture	nəm
result	gətirib-çıxarmaq
dispute	sözə gəlmək
schoolchild	məktəbli
puppy	çubuş
deify	ilahiləşdirmək
freedom	sərbəstlik
free	sərbəst
carefree	asudə
secret	sirli
decline	hallandırmaq
rəhmətlik	torpağı sanı yaşayasan
greens	göyərti
finally	nəhayət
take	saqınmaq
snitch	çuğul
fumes	yanıq
agglutinative	iltisaqi
meet	qarşılamaq
dictate	söyləyib yazdırmaq
prophecy	kəhanət
mugwort	yovşan
dozen	düjün
patriot	yurdsevər
confidence	özgüvən
make	həvəsləndirmək
separation	hicran
prince	mirzə
seventh heaven	göyün yeddinci qatı
hypocrisy	ikiüzlülük
hypocrisy	riyakarlıq
hypocrite	riyakar
sawm	oruc
Ramadan	orucluq
in	üzrə
championship	çempionat
currant	qarağat
patriotism	yurdsevərlik
wrist	bilək
rye	çovdar
wheat	zəmi
farming	əkinçilik
well	görkəmli
cattle	heyvandarlıq
stagnation	durğunluq
food	iaşə
donation	ianə
encounter	rastlaşmaq
demonstrative	nümayişkaranə
breadth	genişlik
artisanry	peşəkarlıq
although	əgərçi
although	hərçənd
ray	şüa
lighthouse	mayak
calm	toxtaq
autonomy	muxtariyyət
difference	təfavüt
heatwave	bürkü
crescent	aypara
lie	yalan danışmaq
without batting an eye	gözünü qırpmadan
complete	başa çatmaq
tall	boylu
pen name	təxəllüs
başa	başa-boya çatmaq
lentil	mərci
lentil	mərcimək
independence	istiqlaliyyət
direction	istiqamət
other	o biri
search	aramaq
make	arayıb-axtarmaq
traitor	xain
fake	kitayski
stop	ara vermək
script	ssenari
fly	sinək
three	öyəc
hit	çaxmaq
one	toğlu
three	uryə
young	buğur
plane	çinar
ox	hodaq
plowman	hodaqçı
undeniable	danılmaz
direction	səmt
patience	ərdəm
patience	hövsələ
patience	səbir
alternation	adda-buddalıq
cricket	sisəy
grasshopper	şala
fragmentarily	adda-budda
God	çələbi
sway	laxlamaq
wrench	burxutmaq
sikiş	sikiş gəlmək
pheasant	qırqovul
plain	düzən
fastidious	vasvası
fastidious	tımxır
bird	arıqıran
potbellied	herpet
raspberry	moruq
Illicium anisatum	badyan
mint	nanə
large	heravat
trail	sürünmək
creep	iməkləmək
flow	cərəyan
drag	sürümək
increase	ürəmək
trajectory	trayektoriya
Afghan	əfqan
moult	tüləmək
harmony	ahəng
become	bozarmaq
whiten	ağarmaq
ideology	məslək
tall	ucaboy
tasteless	dadsız
tasteless	tamsız
infirm	halsız
desire	istək
desire	dilək
wish	təvəqqe
faith	etiqad
believing	inam
believing	inanma
ideology	məfkurə
ideology	ideologiya
unwellness	naxoşluq
admiration	pərəstiş
madhab	məzhəb
bootleg	qunc
progressive	mütərəqqi
brave	qoçaq
ram	qoç
shove	dürtmək
global	cahanşümul
weld	qaynaqlamaq
man	mərd
mean	namərd
become	göyərmək
incandescent	qızmar
something	saraltı
defect	nöqsan
flaw	qüsur
flaw	eyib
bent	əyinti
elder	gəndalaş
crab	xərçəng
suck in	sümürmək
cedar	sidr
sorrel	turşəng
oregano	qaraqınıq
sage	sürvə
marjoram	mərzə
parsnip	xımı
laurel	dəfnə
mallow	əməköməci
fennel	razyana
dill	şüyüd
barberry	zirinc
worsen	pisləşmək
Dagestan	Dağıstan
improve	yaxşılaşmaq
scar	çapıq
one by one	bir-bir
stuffed	müqəvva
little bustard	bəzgək
düşmək	təkərə düşmək
pimple	sızanaq
pimply	sızanaqlı
approximately	təxminən
approximately	təqribən
çöl	hardasa
about	barədə
pay attention	fikir vermək
deliver	yetirmək
vegetable	tərəvəz
courage	mərdlik
perfidy	namərdlik
snacks	atışdırmalıq
lunch	nahar
mourning	matəm
teenager	yeniyetmə
surface	üzəri
getmək	harasa
hər	hər ehtimala qarşı
assumption	güman
word	kəlmə
fatalities	tələfat
inculcation	təlqin
influencer	təsirçi
execution	icra
maşın	altına
translatologist	tərcüməşünas
translatology	tərcüməşünaslıq
giving	əta
textologist	mətnşünas
textology	mətnşünaslıq
very	pək
already	uje
insomnia	yuxusuzluq
comrade	arxadaş
flea market	cındır bazarı
permission	müsaidə
arrive	ermək
logorrhea	söz ishalı
mother tongue	ana dili
təkrar	təkrar biliyin anasıdır
tandoor	təndir
instruction	tədris
compare	tutuşdurmaq
large	xalı
family	külfət
genitive	üzərində
sunset	qürub
hardship	məşəqqət
stroke	sığallamaq
suffering	əzab
scrap	kəsinti
stump	kötük
pass	keçid
well-read	mütaliəli
reading	mütaliə
reading	qiraət
disaster	fəlakət
soon	birazdan
reading	oxuma
preface	müqəddimə
temporary	müvəqqəti
authorized	müvəkkil
transient	keçici
boiled	bişmiş
straight	müstəqim
bridle	yüyənləmək
direct	bilavasitə
declined	hallanmaq
tez-tez	tez-tez verilən suallar
tez-tez	tez-tez soruşulan suallar
renew	yeniləmək
extend	uzatmaq
operating system	əməliyyat sistemi
combine	quraşdırmaq
match	quraşmaq
combined	quraşıq
transient	ötəri
spend	sərf etmək
Ethiopia	Həbəşistan
gym	idman zalı
face	surət
hesitation	tərəddüd
hesitate	tərəddüd etmək
hookah	hoqqa
juggler	hoqqabaz
tab	tab gətirmək
fateful	taleyüklü
son-in-law	giyəv
people	el-oba
story	hekayə
appraise	qiymətləndirmək
evaluate	dəyərləndirmək
getmək	zəhləsi getmək
hate	nifrət etmək
correct	islah etmək
improvement	islah
improve	yaxşılaşdırmaq
disgust	iyrənmək
shaft	qazma
layer	zümrə
terrorist	terrorçu
terrorism	terrorçuluq
terrorist	tədhişçi
throw	atış
leadership	rəhbərlik
statehood	dövlətçilik
tightness	gərginlik
state	idarəçilik
mediation	vasitəçilik
disturbance	maneçilik
disturb	mane olmaq
obstacle	maneə
insatiable	acgöz
juniper	ardıc
misguided	gümrah
Padishah	padşah
eliminate	aradan qaldırmaq
eliminate	aradan qalxmaq
sporadic	tək-tük
belongings	şey-şüy
sheets	kağız-kuğuz
pieces	qırıq-quruq
request	təmənna
theology	ilahiyyat
theologian	ilahiyyatçı
touch	təmas
line of contact	təmas xətti
doubt	şəkk
evacuation	təxliyə
evacuate	təxliyə etmək
doubt	şübhə
ahead	öncə
foundation	özül
metabolism	maddələr mübadiləsi
full-fledged	tamdəyərli
foundation	təməl
style	tərz
yard	həyət
membership	heyət
maintaining	inzibat
administrative	inzibati
administrator	inzibatçı
incomplete	natamam
doubtful	şübhəli
right	ixtiyar
authorization	səlahiyyət
civil law	mülki hüquq
international law	beynəlxalq hüquq
criminal law	cinayət hüququ
criminal procedural law	cinayət-prosessual hüququ
family law	ailə hüququ
land law	torpaq hüququ
legal	hüquqi
Rechtsstaat	hüquqi dövlət
sign	əlamət
greedy	görməmişlik
mental	ruhi
trace	əsər-əlamət
will	vəsiyyət
buffalo	camış
hell	duzəx
cure	şəfa
befriend	dostlaşmaq
corpse	cənazə
seal	möhür
faded	sönük
unextinguishable	sönməz
undesirable	arzuolunmaz
mad	divanə
mad	məcnun
elderly	pirani
happen	başına gəlmək
cost	başa gəlmək
dew	şeh
peacock	tovuz
dew	şəbnəm
dew	jalə
below the belt	qurşaqdan aşağı
mahorka	tənbəki
mistake	xəta
painting	rəsm
duty	rüsum
customs	gömrükxana
scream	qışqırıq
whisper	pıçıltı
whisper	pıçıldamaq
argument	mübahisə
debatable	mübahisəli
oral	şifahi
talk	dərdləşmək
grind	üyütmək
mortar	həvəng
photograph	fotoqrafiya
circle	dövrə
orbit	mədar
technological	texnoloji
wish	arzulamaq
see off	yola salmaq
sum up	əlqərəz
oppressed	məzlum
firmness	mətanət
intention	məram
peacekeeping	sülhməramlı
vindicate	doğrultmaq
dry	təpimək
old man	ağsaqqal
guess	təxmin
rebuke	irad
former	sabiq
aging	ahıl
vindicate	bəraət qazandırmaq
vindicate	haqq qazandırmaq
feed	qidalanmaq
muscle	əzələ
feed	qidalandırmaq
food poisoning	qida zəhərlənməsi
food chain	qida zənciri
esophagus	qida borusu
poisoning	zəhərlənmə
cool down	soyumaq
get	istiləşmək
surrender	təslim olmaq
insulting	təhqiramiz
instructive	ibrətamiz
amazing	heyrətamiz
instructive	nəsihətamiz
admonition	nəsihət
amazement	heyrət
process	sürəc
pensive	fikirli
moderate	mötədil
when	-gəc
when	-əndə
recall	yada düşmək
hygiene	behdaş
alas	əfsus
eel	ilan balığı
nimble	diribaş
performer	ifaçı
security guard	mühafizəçi
department	şöbə
mail	poçt
letter of attorney	etibarnamə
order	hökm
without fail	hökmən
register	təhkim etmək
most	əksər
hearing	təhqiqat
investigation	təhqiq
association	nizamnamə
programme	məramnamə
stubborn	inadlı
clear	aşkar
eagle owl	yapalaq
teaching	təlim
beauty	yaraşıq
suddenly	birdən
sock	corab
phrase	ibarə
coot	qaşqaldaq
familial	ailəvi
qalmaq	geridə qalmaq
female	stüardessa
rabid	quduz
seize	ələ keçirmək
advance	irəliləmək
promote	qabağa çəkmək
rank	rütbə
raise	yüksəltmək
groom	mehtər
denial	inkar
floor	döşəmə
spread	döşəmək
hajj	həcc
petition	ərizə
adoration	səcdə
prayer mat	səccadə
altar	səcdəgah
calendar	тәгвим
station	stansiya
John	İoann
suburb	kənar məhəllə
mugham	muğam
cuckold	dəyyus
volume	həcm
art	bədii
contraindication 	əks-göstəriş
noble	alicənab
meat	çapacaq
galopp	çapış
courier	çapar
toss	çapalamaq
vaccine	döycə
garbage	püsür
distance	kilometrlik
chase	qovalamaq
scatter	səpələmək
peck	eşələmək
prevail	üstələmək
grab	qomalamaq
vaccinate	döycələmək
sociable	ünsiyyətcil
talkative	söhbətcil
playful	zarafatcıl
pneumonia	sətəlcəm
sluggish	əzgin
deception	aldanış
jealous	qısqanc
jealousy	qısqanclıq
repeatedly	dəfələrlə
tune	sazlamaq
retiree	təqaüdçü
secondary school	dəbiristan
café	qəhvəxana
snack bar	qəlyənaltıxana
handle	dəstə
secondary school	orta məktəb
quarter	məhəllə
superficial	səthi
lewd	pozğun
fast	çapağan
fast	qaçağan
whining	ağlağan
famous	tanınmış
hardworking	çalışqan
engaged	adaxlanmaq
engaged	nişanlanmaq
artıq	MAXE
covet	tamah salmaq
methamphetamine	patı
ear	sünbül
robber	quldur
joint	buğum
knee	bağanaq
hobble	buxov
pastern	buxovluq
pastern	bağancaq
ankle	topuq
coronary band	bağancanaq
emotionally	mütəəssir
lastborn	sonbeşik
Creator	xaliq
hither	buraya
slope	əydəm
many	yügüş
sea buckthorn	çısqana
contractor	peymankar
slum	gecəqondu
workbench	dəzgah
patch	yamamaq
sewing	tikiş
refrain	nəqarət
nagara	nağara
unsupervised	baxımsız
turner	tornaçı
weaver	toxucu
weaving	toxuculuq
board	taxta
mən	mən ölüm
porridge	xəşil
jobless	ecgahan
